group,feature,method,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C3_C4,motion_range_acc_z,posture_train_zscore,HW,C3,C4,506,519,-0.277498,0.014514,0.963687,1.196803,-0.268760,0.893102
C3_C4,motion_range_acc_z,posture_train_robust,all,C3,C4,1529,1540,-0.290493,-0.062061,0.937648,0.965322,-0.240054,0.904462
C3_C4,motion_range_acc_z,posture_train_robust,SA,C3,C4,508,519,-0.228722,-0.086961,1.065185,0.883089,-0.144893,0.942246
C3_C4,motion_range_acc_z,posture_train_robust,CA,C3,C4,515,502,-0.453768,-0.200034,0.771510,0.787177,-0.325557,0.870693
C3_C4,motion_range_acc_z,posture_train_robust,HW,C3,C4,506,519,-0.186330,0.096293,0.932701,1.158322,-0.268760,0.893102
C3_C4,motion_range_acc_z,participant_zscore_upper_bound,all,C3,C4,1529,1540,-0.369403,-0.121642,0.965757,0.999974,-0.252041,0.899716
C3_C4,motion_range_acc_z,participant_zscore_upper_bound,SA,C3,C4,508,519,-0.375294,-0.214969,0.932872,0.810584,-0.183466,0.926910
C3_C4,motion_range_acc_z,participant_zscore_upper_bound,CA,C3,C4,515,502,-0.221132,0.111881,0.782510,0.737776,-0.437903,0.826688
C3_C4,motion_range_acc_z,participant_zscore_upper_bound,HW,C3,C4,506,519,-0.514395,-0.254189,1.130488,1.305579,-0.213078,0.915155
C3_C4,depth_proxy,raw,all,C3,C4,1529,1540,5.372490,5.068092,3.844800,3.929442,0.078305,0.968769
C3_C4,depth_proxy,raw,SA,C3,C4,508,519,7.874160,7.692012,0.946243,0.844314,0.203125,0.919104
C3_C4,depth_proxy,raw,CA,C3,C4,515,502,7.866309,7.688766,0.837912,0.956935,0.197403,0.921375
C3_C4,depth_proxy,raw,HW,C3,C4,506,519,0.322758,-0.090662,2.223216,2.019041,0.194680,0.922456
C3_C4,depth_proxy,posture_train_zscore,all,C3,C4,1529,1540,0.256320,0.087160,0.884573,0.846467,0.195397,0.922172
