setting,split,scope,scope_value,metric,value
posture_train_robust_core_features,val,class,C3,precision,0.150000
posture_train_robust_core_features,val,class,C3,recall,0.087866
posture_train_robust_core_features,val,class,C3,f1,0.110818
posture_train_robust_core_features,val,class,C3,support,239
posture_train_robust_core_features,val,class,C4,precision,0.123894
posture_train_robust_core_features,val,class,C4,recall,0.059072
posture_train_robust_core_features,val,class,C4,f1,0.080000
posture_train_robust_core_features,val,class,C4,support,237
posture_train_robust_core_features,val,class,C5,precision,0.239796
posture_train_robust_core_features,val,class,C5,recall,0.195021
posture_train_robust_core_features,val,class,C5,f1,0.215103
posture_train_robust_core_features,val,class,C5,support,241
posture_train_robust_core_features,val,class,C6,precision,0.272222
posture_train_robust_core_features,val,class,C6,recall,0.205021
posture_train_robust_core_features,val,class,C6,f1,0.233890
posture_train_robust_core_features,val,class,C6,support,239
posture_train_robust_core_features,val,posture,SA,macro_f1,0.273120
posture_train_robust_core_features,val,posture,CA,macro_f1,0.227193
posture_train_robust_core_features,val,posture,HW,macro_f1,0.126481
posture_train_robust_core_features,test,overall,all,accuracy,0.263490
posture_train_robust_core_features,test,overall,all,macro_f1,0.231302
posture_train_robust_core_features,test,overall,all,weighted_f1,0.231412
posture_train_robust_core_features,test,class,C1,precision,0.251969
posture_train_robust_core_features,test,class,C1,recall,0.270042
posture_train_robust_core_features,test,class,C1,f1,0.260692
posture_train_robust_core_features,test,class,C1,support,237
posture_train_robust_core_features,test,class,C2,precision,0.298013
posture_train_robust_core_features,test,class,C2,recall,0.753138
posture_train_robust_core_features,test,class,C2,f1,0.427046
posture_train_robust_core_features,test,class,C2,support,239
posture_train_robust_core_features,test,class,C3,precision,0.132184
posture_train_robust_core_features,test,class,C3,recall,0.096639
posture_train_robust_core_features,test,class,C3,f1,0.111650
posture_train_robust_core_features,test,class,C3,support,238
posture_train_robust_core_features,test,class,C4,precision,0.224806
posture_train_robust_core_features,test,class,C4,recall,0.123404
posture_train_robust_core_features,test,class,C4,f1,0.159341
posture_train_robust_core_features,test,class,C4,support,235
posture_train_robust_core_features,test,class,C5,precision,0.426471
posture_train_robust_core_features,test,class,C5,recall,0.243697
posture_train_robust_core_features,test,class,C5,f1,0.310160
posture_train_robust_core_features,test,class,C5,support,238
posture_train_robust_core_features,test,class,C6,precision,0.169231
posture_train_robust_core_features,test,class,C6,recall,0.091667
posture_train_robust_core_features,test,class,C6,f1,0.118919
posture_train_robust_core_features,test,class,C6,support,240
posture_train_robust_core_features,test,posture,SA,macro_f1,0.266770
posture_train_robust_core_features,test,posture,CA,macro_f1,0.210056
posture_train_robust_core_features,test,posture,HW,macro_f1,0.199532
